"year","region_id","name","ons_code","road_category_id","total_link_length_km","total_link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","all_hgvs","all_motor_vehicles"
2000,6,"London","E12000007",1,65.6,40.76,0,19709810.8297542,1132898634.35039,13178141.4041995,161519823.72942,148443590.059055,1475750000.37282
2000,6,"London","E12000007",3,319.2,198.34,9603160.79098067,89777370.4068242,3334708330.35075,37571386.9750656,485304755.353734,202953948.192555,4150315791.27893
2000,6,"London","E12000007",4,1396,867.43,92412753.0720592,181386780.7877,5880082205.24636,161583795.223395,780021810.16613,231018330.611727,7233985465.20818
2000,6,"London","E12000007",5,513.6,319.14,19783369.5712091,41112810.8172262,1181211577.36023,28047192.8658099,156219769.677725,27358083.1457712,1433949433.86676
2000,6,"London","E12000007",6,12309.4,7648.71,160022385.759072,109196729.0827,4930359702.67075,78540196.9315348,648747666.489565,86845525.5059962,5853689820.68054
2000,7,"East of England","E12000006",1,263.3,163.61,0,29854644.9982104,3630326018.92448,28077638.8391792,535559754.906347,631918850.28931,4855736907.95753
2000,7,"East of England","E12000006",3,1138.47,707.41,3868084.17591267,54907891.5384157,5166263723.00764,35700275.9260916,773235364.583333,766273647.25006,6796380902.30554
2000,7,"East of England","E12000006",4,2755.43,1712.14,40878769.3867812,91258414.3104271,6819939018.43235,70035911.551539,931016839.209019,412781960.786507,8325032144.28985
2000,7,"East of England","E12000006",5,3267.3,2030.21,21804656.9419813,32660819.3021306,2122603755.49064,29742749.2893477,413355244.811374,87054412.7427846,2685416981.63628
2000,7,"East of England","E12000006",6,31797.9,19758.3,316266984.192824,122005566.886123,7824563374.17422,132121832.114128,1138366439.84549,167372291.37876,9384429504.39872
2000,8,"Yorkshire and The Humber","E12000003",1,361.8,224.81,0,12290331.9613457,3511532121.28669,20582064.617633,592035288.04283,885384443.59938,5021824249.50787
2000,8,"Yorkshire and The Humber","E12000003",2,3.5,2.17,0,275362.383679313,44459904.0354331,637304.268074445,6118921.49844906,1976500.61142925,53467992.7970651
2000,8,"Yorkshire and The Humber","E12000003",3,702.95,436.79,3740941.71289668,23527257.25513,2508289518.64859,22190949.169351,347744495.086197,421453055.841386,3323205276.00066
2000,8,"Yorkshire and The Humber","E12000003",4,2602.23,1616.95,35905412.7147459,63083293.3667382,5769185556.58703,94553916.2043665,717387825.064126,314735699.974648,6958946291.19691
2000,8,"Yorkshire and The Humber","E12000003",5,1922.5,1194.59,14191512.1950764,20406845.3955929,1333899879.68599,24164679.9782346,232490525.612898,57429852.3161804,1668391782.9889
2000,8,"Yorkshire and The Humber","E12000003",6,25982.1,16144.53,186777332.533112,84241689.0653969,5693331983.37713,100080624.041384,852021278.694974,146831978.580171,6876507553.75906
2000,9,"South East","E12000008",1,644.4,400.41,0,74245048.9143403,10248528187.2614,91693172.1247912,1304316016.46385,1219728549.27225,12938510974.0366
2000,9,"South East","E12000008",2,10.6,6.59,0,1388637.85492722,144046479.435099,939820.821403006,13485160.9102839,7761930.69971367,167622029.721427
2000,9,"South East","E12000008",3,875.6,544.07,3539889.42078263,62633480.2254832,5289237466.07313,40109187.4701742,702305232.56681,493000165.160463,6587285531.49606
2000,9,"South East","E12000008",4,4330.38,2690.77,60444615.3588046,156941496.547662,12051424218.7127,121809777.536686,1450844805.46111,532122105.255309,14313142403.5135
2000,9,"South East","E12000008",5,3090,1920.04,28590616.2000554,39450254.5346402,2689367211.27679,30632230.6726753,427282416.364068,83010860.9121033,3269742973.76027
2000,9,"South East","E12000008",6,38359.5,23835.49,351690284.370437,170802132.523231,11485377143.276,135420929.055548,1571839722.18545,216101070.063975,13579540997.1042
2000,10,"West Midlands","E12000005",1,381.7,237.18,0,21632662.6252684,4930473574.69876,32738490.5899547,745644674.600334,1075201982.29838,6805691384.81269
2000,10,"West Midlands","E12000005",2,4.3,2.67,0,424050.793366738,65978810.2481508,1103996.65950847,10590694.7178478,4480528.96086853,82578081.3797423
2000,10,"West Midlands","E12000005",3,838.7,521.14,3328455.32092579,26632213.7467192,2854104134.60391,20902001.6851587,395057076.54796,343449530.989024,3640144957.57278
2000,10,"West Midlands","E12000005",4,2694.69,1674.4,24064359.4532928,56811487.5253519,5900599136.24433,88260480.2702219,774552043.88869,317934754.533524,7138157902.46212
2000,10,"West Midlands","E12000005",5,2506.3,1557.34,19944911.0699465,26578216.5779895,1990440981.50744,33498131.1792532,316504578.916244,64065453.2439603,2431087361.42489
2000,10,"West Midlands","E12000005",6,25849,16061.82,153737117.603525,78722580.6348972,6943738288.72849,146844323.00248,945913556.719697,144822033.895262,8260040782.98082
2000,11,"North East","E12000001",1,55.6,34.55,0,1917279.9600334,431418101.661298,3086592.17668814,67607582.8412074,81943756.3379862,585973312.977213
2000,11,"North East","E12000001",2,2.4,1.49,0,155147.190408017,29358933.577905,219007.247673586,3180631.11429253,825723.276067764,33739442.4063469
2000,11,"North East","E12000001",3,437.5,271.85,727522.518492007,13487321.4179194,1843854243.84097,13493166.1596278,241462381.442377,210837458.616679,2323134571.47757
2000,11,"North East","E12000001",4,1319.8,820.09,11249808.741947,23856188.8570747,2871849953.02434,49059238.1740635,348077156.406586,146240440.825579,3439082977.28764
2000,11,"North East","E12000001",5,1339.6,832.39,5178642.72039415,7548622.6226624,710064424.03166,18015123.7271497,104746316.03896,21631375.702961,862005862.123393
2000,11,"North East","E12000001",6,12892.8,8011.21,72420299.8451183,26589766.8348955,3457993625.08192,107203668.472187,444093338.486552,66403123.5289907,4102283522.40454
2001,1,"South West","E12000009",1,326.8,203.06,0,22408478.8584666,3650119411.3875,28462033.5987831,433807571.283703,587312898.920305,4722110389.07779
2001,1,"South West","E12000009",3,999.5,621.06,2061165.29467907,38697609.0879265,3439999013.88392,22460643.5914261,459808863.735783,326722883.982542,4287689008.06788
2001,1,"South West","E12000009",4,3927.1,2440.19,32270159.7669609,112738958.233914,7231957159.56315,86602428.691442,949017643.213632,385893614.416806,8766209786.72055
2001,1,"South West","E12000009",5,3285.5,2041.52,23096518.4709702,40987840.761798,1967043068.01607,30406278.8632511,350569741.664917,74292632.5810827,2463299561.88712
2001,1,"South West","E12000009",6,40923,25428.37,177685349.91056,143255007.843367,6332412646.65574,106668308.567217,951185334.391426,157873897.006016,7691395194.46376
2001,2,"East Midlands","E12000004",1,193.7,120.36,0,12619474.7673586,2772244700.94647,16248668.401535,418280424.197686,635454022.881373,3854847288.08757
2001,2,"East Midlands","E12000004",3,1210.8,752.36,4818513.63039847,35365297.2888332,4340346818.33095,24321632.2924123,631596442.401376,719432166.149686,5751062347.14269
2001,2,"East Midlands","E12000004",4,2624.26,1630.64,24238049.7892309,58259797.159588,5085360107.59664,53807341.9977332,700458756.487115,365462504.598147,6263348497.89728
2001,2,"East Midlands","E12000004",5,2008.1,1247.78,12700151.057068,20281574.3676647,1228477765.66218,16673875.5305845,223061028.323093,65060587.6129224,1553554831.49645
2001,2,"East Midlands","E12000004",6,25118.4,15607.85,169274655.997258,87133497.7021551,5185294357.51476,91368132.7575416,755035805.78633,171186748.894607,6290018542.65539
2001,3,"Scotland","S92000003",1,386.49,240.15,0,8684610.6239561,2651071684.48759,27076157.7388054,337473973.246242,435009496.415931,3459315915.67744
2001,3,"Scotland","S92000003",3,2811.97,1747.28,3984402.34033246,36113571.7410324,4495572130.01074,49617753.5691561,617112121.460669,478765058.309473,5677180616.44993
2001,3,"Scotland","S92000003",4,7482.01,4649.11,22864656.655134,52045514.197089,5887701477.1236,124129475.736698,805976935.944086,335083083.542114,7204936461.68874
2001,3,"Scotland","S92000003",5,7338.1,4559.68,14527658.4745089,19269342.042472,1779195746.83846,41395748.8268512,375531893.740555,87666776.0279965,2303059507.47634
2001,3,"Scotland","S92000003",6,41299.2,25662.13,105006760.518572,46295882.0488348,5010847276.90289,132857238.725841,760867160.781039,153241320.687187,6104108879.14579
2001,4,"Wales","W92000004",1,141.3,87.8,0,7892067.82390837,1407978932.40973,9525145.64940746,203671146.131592,196331201.408773,1825398489.69518
2001,4,"Wales","W92000004",3,1546.6,961.01,2237531.56565657,24656263.6701662,2874403762.02975,26000643.7405552,402926274.929412,262963618.716695,3590950547.55229
2001,4,"Wales","W92000004",4,2631.39,1635.07,10597148.2790503,35125985.4947109,3725765639.91291,51685634.6436809,459730522.498608,170421476.701066,4442729235.0175
2001,4,"Wales","W92000004",5,2985.2,1854.92,7599001.703468,12808937.3055705,1023288556.97677,21721802.343878,205402479.993587,44809751.9099838,1308031528.52979
2001,4,"Wales","W92000004",6,25728.8,15987.14,59915489.6332935,54254682.3905368,3651931117.34198,62309476.571119,593219137.352971,100813176.557519,4462527590.21412
2001,5,"North West","E12000002",1,615.5,382.45,0,29515636.1846815,7376821591.90328,45584769.3221586,1034935727.22799,1283894029.49276,9770751742.94619
2001,5,"North West","E12000002",2,24.1,14.98,0,915366.758132506,192443750.372823,1148745.07874016,24482886.1946234,14065962.2802831,233056708.820488
2001,5,"North West","E12000002",3,826.83,513.77,5099954.39135449,24053836.8428378,2408024602.57098,21682146.2658077,310077823.634972,253644309.73117,3017482706.61835
2001,5,"North West","E12000002",4,3165.68,1967.06,46399194.9514833,80584126.2029746,7632527388.17804,134576442.948183,893808746.917999,343419599.538694,9084916280.79516
2001,5,"North West","E12000002",5,1940.4,1205.71,26236687.6350041,25916549.8950019,1832290096.09577,40251538.8498885,259418687.732987,56507354.2447879,2214384226.81844
2001,5,"North West","E12000002",6,30044.3,18668.66,183617861.324572,91862489.8279137,7404035489.30377,116404151.596176,961814887.715966,170726535.334106,8744843553.77793
2001,6,"London","E12000007",1,60.1,37.34,0,13300896.5143562,1020267699.13704,9856069.3052573,158040317.048437,138481995.769705,1339946974.04657
2001,6,"London","E12000007",4,1720.8,1069.26,108753060.874493,289224405.720592,9262234425.95244,201907762.417482,1286154376.56586,426473661.939275,11465994612.7118
2001,6,"London","E12000007",5,514,319.38,19929008.9371179,43508182.0310748,1135532013.7846,26447501.8269264,150850468.412705,26822231.2287044,1383160397.28401
2001,6,"London","E12000007",6,12345.4,7671.08,167726481.967658,120135847.941853,4920841579.91609,76801540.3532029,649397659.342659,88175926.7230114,5855352554.27681
2001,7,"East of England","E12000006",1,264.1,164.1,0,33916584.6456693,3736798247.60896,26758172.2739203,574469821.865307,631478347.078064,5003421168.50095
2001,7,"East of England","E12000006",3,1138.47,707.41,3270200.77745964,56199027.0569872,5332041058.96564,36248124.0803706,807965886.100175,763161648.472918,6995615737.84101
2001,7,"East of England","E12000006",4,2754.13,1711.34,40411061.2771415,90387149.0495506,6908000986.11608,72619791.6666667,959583801.847212,412825312.673984,8443417033.27567
2001,7,"East of England","E12000006",5,3266.7,2029.83,20639699.9652417,32943922.5626417,2082379363.02111,29144507.1669202,418873187.536408,84953519.2263574,2648294499.51343
2001,7,"East of England","E12000006",6,31864.1,19799.43,324476749.109233,129856824.797783,7883456938.34373,131830073.554865,1168255345.01446,168254527.592572,9481653709.3034
2001,8,"Yorkshire and The Humber","E12000003",1,361.8,224.81,0,11292874.6122644,3667179141.31472,19242752.3264137,623523728.301718,881145832.711962,5202384321.18925
2001,8,"Yorkshire and The Humber","E12000003",2,3.5,2.17,0,225802.563031894,40486336.0474827,650804.302871232,6010644.08852302,1367629.91628887,48741216.2968265
2001,8,"Yorkshire and The Humber","E12000003",3,682.85,424.3,3040773.75626342,20285423.1289271,2523225650.94846,20652034.6178319,353702560.794958,409419751.774636,3327285409.45876
